# Exact Riemann solution for problem: 5
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 8.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [1.00000e+00, -1.95974e+01, 1.00000e+03]
# Right state [dens,velx,pres]: [1.00000e+00, -1.95974e+01, 1.00000e-02]
# Time: 1.20000e-02
                x              dens              pres              velx              eint              cspd
  5.000000000e-04   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  4.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  5.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  6.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  7.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  8.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  9.500000000e-03   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.050000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.150000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.250000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.350000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.450000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.550000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.650000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.750000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.850000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  1.950000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.050000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.150000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.250000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.350000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.450000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.550000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.650000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.750000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.850000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  2.950000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.050000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.150000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.250000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.350000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.450000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.550000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.650000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.750000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.850000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  3.950000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
  4.050000000e-02   1.000000000e+00   1.000000000e+03  -1.959745000e+01   2.500000000e+03   3.741657387e+01
